874	323
852	296
816	277
818	273
819	262
1859	828
738	130
1764	891
1666	921
1865	820
1883	820
1591	947
1731	948
720	266
755	276
1841	898
1827	1067
998	636
1016	595
1038	605
0.9554255441437918
852	296
816	277
818	273
819	262
1859	828
738	130
1764	891
1666	921
1865	820
1883	820
1591	947
1731	948
720	266
755	276
1841	898
1827	1067
998	636
1016	595
1038	605
1040	672
0.9550565425270213
816	277
818	273
819	262
1859	828
738	130
1764	891
1666	921
1865	820
1883	820
1591	947
1731	948
720	266
755	276
1841	898
1827	1067
998	636
1016	595
1038	605
1040	672
1076	738
0.9539707670804362
818	273
819	262
1859	828
738	130
1764	891
1666	921
1865	820
1883	820
1591	947
1731	948
720	266
755	276
1841	898
1827	1067
998	636
1016	595
1038	605
1040	672
1076	738
1074	721
0.9506895634404121
819	262
1859	828
738	130
1764	891
1666	921
1865	820
1883	820
1591	947
1731	948
720	266
755	276
1841	898
1827	1067
998	636
1016	595
1038	605
1040	672
1076	738
1074	721
1078	733
0.9473224906944874
1859	828
738	130
1764	891
1666	921
1865	820
1883	820
1591	947
1731	948
720	266
755	276
1841	898
1827	1067
998	636
1016	595
1038	605
1040	672
1076	738
1074	721
1078	733
1073	801
0.9386652862148217
738	130
1764	891
1666	921
1865	820
1883	820
1591	947
1731	948
720	266
755	276
1841	898
1827	1067
998	636
1016	595
1038	605
1040	672
1076	738
1074	721
1078	733
1073	801
1040	881
0.9081962739991637
997	1037
981	1030
980	957
970	955
957	1013
939	983
923	979
913	1028
910	992
917	977
933	1032
958	1008
969	1016
986	1055
997	991
1004	979
989	989
984	947
928	938
567	240
0.9647003027582122
981	1030
980	957
970	955
957	1013
939	983
923	979
913	1028
910	992
917	977
933	1032
958	1008
969	1016
986	1055
997	991
1004	979
989	989
984	947
928	938
567	240
1554	745
0.9431174521764498
980	957
970	955
957	1013
939	983
923	979
913	1028
910	992
917	977
933	1032
958	1008
969	1016
986	1055
997	991
1004	979
989	989
984	947
928	938
567	240
1554	745
1531	745
0.9452269198424536
970	955
957	1013
939	983
923	979
913	1028
910	992
917	977
933	1032
958	1008
969	1016
986	1055
997	991
1004	979
989	989
984	947
928	938
567	240
1554	745
1531	745
1715	362
0.9667146367633804
957	1013
939	983
923	979
913	1028
910	992
917	977
933	1032
958	1008
969	1016
986	1055
997	991
1004	979
989	989
984	947
928	938
567	240
1554	745
1531	745
1715	362
1640	311
0.946345280665017
1793	569
1773	684
1721	651
1834	804
1811	811
1686	791
1780	571
1729	738
1894	756
1826	627
1813	651
643	270
640	291
643	319
639	321
658	312
1782	759
669	310
672	314
32	73
0.9115564484868975
1773	684
1721	651
1834	804
1811	811
1686	791
1780	571
1729	738
1894	756
1826	627
1813	651
643	270
640	291
643	319
639	321
658	312
1782	759
669	310
672	314
32	73
668	321
0.9334710551237083
1721	651
1834	804
1811	811
1686	791
1780	571
1729	738
1894	756
1826	627
1813	651
643	270
640	291
643	319
639	321
658	312
1782	759
669	310
672	314
32	73
668	321
62	3
0.943071482876149
1834	804
1811	811
1686	791
1780	571
1729	738
1894	756
1826	627
1813	651
643	270
640	291
643	319
639	321
658	312
1782	759
669	310
672	314
32	73
668	321
62	3
1751	778
0.9438146910918401
1811	811
1686	791
1780	571
1729	738
1894	756
1826	627
1813	651
643	270
640	291
643	319
639	321
658	312
1782	759
669	310
672	314
32	73
668	321
62	3
1751	778
45	71
0.9485126108447206
1686	791
1780	571
1729	738
1894	756
1826	627
1813	651
643	270
640	291
643	319
639	321
658	312
1782	759
669	310
672	314
32	73
668	321
62	3
1751	778
45	71
702	340
0.9500013050790044
1780	571
1729	738
1894	756
1826	627
1813	651
643	270
640	291
643	319
639	321
658	312
1782	759
669	310
672	314
32	73
668	321
62	3
1751	778
45	71
702	340
10	148
0.9506822695418089
1729	738
1894	756
1826	627
1813	651
643	270
640	291
643	319
639	321
658	312
1782	759
669	310
672	314
32	73
668	321
62	3
1751	778
45	71
702	340
10	148
61	51
0.9664307062772479
1894	756
1826	627
1813	651
643	270
640	291
643	319
639	321
658	312
1782	759
669	310
672	314
32	73
668	321
62	3
1751	778
45	71
702	340
10	148
61	51
219	49
0.9604767387498057
1826	627
1813	651
643	270
640	291
643	319
639	321
658	312
1782	759
669	310
672	314
32	73
668	321
62	3
1751	778
45	71
702	340
10	148
61	51
219	49
537	30
0.9120006548762181
1813	651
643	270
640	291
643	319
639	321
658	312
1782	759
669	310
672	314
32	73
668	321
62	3
1751	778
45	71
702	340
10	148
61	51
219	49
537	30
32	58
0.9171007614783895
643	270
640	291
643	319
639	321
658	312
1782	759
669	310
672	314
32	73
668	321
62	3
1751	778
45	71
702	340
10	148
61	51
219	49
537	30
32	58
198	49
0.9178039278005777
640	291
643	319
639	321
658	312
1782	759
669	310
672	314
32	73
668	321
62	3
1751	778
45	71
702	340
10	148
61	51
219	49
537	30
32	58
198	49
217	105
0.91928821304598
643	319
639	321
658	312
1782	759
669	310
672	314
32	73
668	321
62	3
1751	778
45	71
702	340
10	148
61	51
219	49
537	30
32	58
198	49
217	105
171	87
0.9208632819877014
639	321
658	312
1782	759
669	310
672	314
32	73
668	321
62	3
1751	778
45	71
702	340
10	148
61	51
219	49
537	30
32	58
198	49
217	105
171	87
691	350
0.9202515028013567
658	312
1782	759
669	310
672	314
32	73
668	321
62	3
1751	778
45	71
702	340
10	148
61	51
219	49
537	30
32	58
198	49
217	105
171	87
691	350
81	38
0.9238508539221839
1782	759
669	310
672	314
32	73
668	321
62	3
1751	778
45	71
702	340
10	148
61	51
219	49
537	30
32	58
198	49
217	105
171	87
691	350
81	38
177	77
0.9254036095909265
509	129
537	133
585	278
689	132
723	319
682	281
205	1075
247	1059
718	15
187	1075
689	245
164	1061
717	243
781	220
810	184
775	285
771	276
774	276
263	1005
280	1024
0.9195607262090477
537	133
585	278
689	132
723	319
682	281
205	1075
247	1059
718	15
187	1075
689	245
164	1061
717	243
781	220
810	184
775	285
771	276
774	276
263	1005
280	1024
871	241
0.9324109204991358
585	278
689	132
723	319
682	281
205	1075
247	1059
718	15
187	1075
689	245
164	1061
717	243
781	220
810	184
775	285
771	276
774	276
263	1005
280	1024
871	241
263	1004
0.9512159073798208
689	132
723	319
682	281
205	1075
247	1059
718	15
187	1075
689	245
164	1061
717	243
781	220
810	184
775	285
771	276
774	276
263	1005
280	1024
871	241
263	1004
826	263
0.9522675702844676
723	319
682	281
205	1075
247	1059
718	15
187	1075
689	245
164	1061
717	243
781	220
810	184
775	285
771	276
774	276
263	1005
280	1024
871	241
263	1004
826	263
203	1037
0.9594149513009786
682	281
205	1075
247	1059
718	15
187	1075
689	245
164	1061
717	243
781	220
810	184
775	285
771	276
774	276
263	1005
280	1024
871	241
263	1004
826	263
203	1037
251	981
0.9616061717491433
205	1075
247	1059
718	15
187	1075
689	245
164	1061
717	243
781	220
810	184
775	285
771	276
774	276
263	1005
280	1024
871	241
263	1004
826	263
203	1037
251	981
873	200
0.9622753365129403
247	1059
718	15
187	1075
689	245
164	1061
717	243
781	220
810	184
775	285
771	276
774	276
263	1005
280	1024
871	241
263	1004
826	263
203	1037
251	981
873	200
851	234
0.9602679317070837
718	15
187	1075
689	245
164	1061
717	243
781	220
810	184
775	285
771	276
774	276
263	1005
280	1024
871	241
263	1004
826	263
203	1037
251	981
873	200
851	234
900	230
0.9598035094255123
187	1075
689	245
164	1061
717	243
781	220
810	184
775	285
771	276
774	276
263	1005
280	1024
871	241
263	1004
826	263
203	1037
251	981
873	200
851	234
900	230
885	260
0.9811168374301322
689	245
164	1061
717	243
781	220
810	184
775	285
771	276
774	276
263	1005
280	1024
871	241
263	1004
826	263
203	1037
251	981
873	200
851	234
900	230
885	260
810	297
0.9784111104804276
164	1061
717	243
781	220
810	184
775	285
771	276
774	276
263	1005
280	1024
871	241
263	1004
826	263
203	1037
251	981
873	200
851	234
900	230
885	260
810	297
813	275
0.9814702022619346
717	243
781	220
810	184
775	285
771	276
774	276
263	1005
280	1024
871	241
263	1004
826	263
203	1037
251	981
873	200
851	234
900	230
885	260
810	297
813	275
781	301
0.9850029120772417
781	220
810	184
775	285
771	276
774	276
263	1005
280	1024
871	241
263	1004
826	263
203	1037
251	981
873	200
851	234
900	230
885	260
810	297
813	275
781	301
810	244
0.987539280740599
810	184
775	285
771	276
774	276
263	1005
280	1024
871	241
263	1004
826	263
203	1037
251	981
873	200
851	234
900	230
885	260
810	297
813	275
781	301
810	244
791	262
0.9891078730286622
775	285
771	276
774	276
263	1005
280	1024
871	241
263	1004
826	263
203	1037
251	981
873	200
851	234
900	230
885	260
810	297
813	275
781	301
810	244
791	262
777	274
0.9919259739879094
771	276
774	276
263	1005
280	1024
871	241
263	1004
826	263
203	1037
251	981
873	200
851	234
900	230
885	260
810	297
813	275
781	301
810	244
791	262
777	274
775	272
0.9917669498279061
774	276
263	1005
280	1024
871	241
263	1004
826	263
203	1037
251	981
873	200
851	234
900	230
885	260
810	297
813	275
781	301
810	244
791	262
777	274
775	272
753	291
0.9917607232991112
263	1005
280	1024
871	241
263	1004
826	263
203	1037
251	981
873	200
851	234
900	230
885	260
810	297
813	275
781	301
810	244
791	262
777	274
775	272
753	291
680	327
0.9909793715976024
280	1024
871	241
263	1004
826	263
203	1037
251	981
873	200
851	234
900	230
885	260
810	297
813	275
781	301
810	244
791	262
777	274
775	272
753	291
680	327
651	318
0.9876801039336152
871	241
263	1004
826	263
203	1037
251	981
873	200
851	234
900	230
885	260
810	297
813	275
781	301
810	244
791	262
777	274
775	272
753	291
680	327
651	318
656	293
0.9888969911244849
263	1004
826	263
203	1037
251	981
873	200
851	234
900	230
885	260
810	297
813	275
781	301
810	244
791	262
777	274
775	272
753	291
680	327
651	318
656	293
643	302
0.9871919453795358
826	263
203	1037
251	981
873	200
851	234
900	230
885	260
810	297
813	275
781	301
810	244
791	262
777	274
775	272
753	291
680	327
651	318
656	293
643	302
646	305
0.9862201661580885
203	1037
251	981
873	200
851	234
900	230
885	260
810	297
813	275
781	301
810	244
791	262
777	274
775	272
753	291
680	327
651	318
656	293
643	302
646	305
678	260
0.9842108131685543
251	981
873	200
851	234
900	230
885	260
810	297
813	275
781	301
810	244
791	262
777	274
775	272
753	291
680	327
651	318
656	293
643	302
646	305
678	260
644	312
0.970638426370814
593	149
546	260
597	279
604	160
641	188
656	246
720	88
663	298
646	205
6	941
615	283
656	268
652	224
647	239
641	231
628	287
677	263
667	262
648	198
643	201
0.9010149046535074
546	260
597	279
604	160
641	188
656	246
720	88
663	298
646	205
6	941
615	283
656	268
652	224
647	239
641	231
628	287
677	263
667	262
648	198
643	201
653	209
0.9191400243492684
597	279
604	160
641	188
656	246
720	88
663	298
646	205
6	941
615	283
656	268
652	224
647	239
641	231
628	287
677	263
667	262
648	198
643	201
653	209
707	196
0.9229947126270428
604	160
641	188
656	246
720	88
663	298
646	205
6	941
615	283
656	268
652	224
647	239
641	231
628	287
677	263
667	262
648	198
643	201
653	209
707	196
698	234
0.920976576234374
641	188
656	246
720	88
663	298
646	205
6	941
615	283
656	268
652	224
647	239
641	231
628	287
677	263
667	262
648	198
643	201
653	209
707	196
698	234
683	235
0.9405803614264732
656	246
720	88
663	298
646	205
6	941
615	283
656	268
652	224
647	239
641	231
628	287
677	263
667	262
648	198
643	201
653	209
707	196
698	234
683	235
628	232
0.9453809105410065
720	88
663	298
646	205
6	941
615	283
656	268
652	224
647	239
641	231
628	287
677	263
667	262
648	198
643	201
653	209
707	196
698	234
683	235
628	232
649	173
0.9383966014335049
663	298
646	205
6	941
615	283
656	268
652	224
647	239
641	231
628	287
677	263
667	262
648	198
643	201
653	209
707	196
698	234
683	235
628	232
649	173
640	194
0.955119198443139
646	205
6	941
615	283
656	268
652	224
647	239
641	231
628	287
677	263
667	262
648	198
643	201
653	209
707	196
698	234
683	235
628	232
649	173
640	194
679	195
0.9635035390334228
6	941
615	283
656	268
652	224
647	239
641	231
628	287
677	263
667	262
648	198
643	201
653	209
707	196
698	234
683	235
628	232
649	173
640	194
679	195
685	160
0.9591769554409497
88	325
22	294
1391	355
1387	346
74	311
60	373
23	278
27	278
54	304
44	325
23	288
1302	394
1313	410
1303	415
1308	409
1305	417
56	302
1292	423
1295	427
1293	423
0.912743666045764
22	294
1391	355
1387	346
74	311
60	373
23	278
27	278
54	304
44	325
23	288
1302	394
1313	410
1303	415
1308	409
1305	417
56	302
1292	423
1295	427
1293	423
1292	422
0.9221444328298322
1391	355
1387	346
74	311
60	373
23	278
27	278
54	304
44	325
23	288
1302	394
1313	410
1303	415
1308	409
1305	417
56	302
1292	423
1295	427
1293	423
1292	422
88	311
0.9054019888793713
1387	346
74	311
60	373
23	278
27	278
54	304
44	325
23	288
1302	394
1313	410
1303	415
1308	409
1305	417
56	302
1292	423
1295	427
1293	423
1292	422
88	311
1289	434
0.9110486923450003
74	311
60	373
23	278
27	278
54	304
44	325
23	288
1302	394
1313	410
1303	415
1308	409
1305	417
56	302
1292	423
1295	427
1293	423
1292	422
88	311
1289	434
1300	442
0.9113513904175166
60	373
23	278
27	278
54	304
44	325
23	288
1302	394
1313	410
1303	415
1308	409
1305	417
56	302
1292	423
1295	427
1293	423
1292	422
88	311
1289	434
1300	442
1297	458
0.9019793250014654
23	278
27	278
54	304
44	325
23	288
1302	394
1313	410
1303	415
1308	409
1305	417
56	302
1292	423
1295	427
1293	423
1292	422
88	311
1289	434
1300	442
1297	458
114	357
0.9486747421737486
27	278
54	304
44	325
23	288
1302	394
1313	410
1303	415
1308	409
1305	417
56	302
1292	423
1295	427
1293	423
1292	422
88	311
1289	434
1300	442
1297	458
114	357
127	361
0.9412399076562001
54	304
44	325
23	288
1302	394
1313	410
1303	415
1308	409
1305	417
56	302
1292	423
1295	427
1293	423
1292	422
88	311
1289	434
1300	442
1297	458
114	357
127	361
1349	426
0.9211708315671161
44	325
23	288
1302	394
1313	410
1303	415
1308	409
1305	417
56	302
1292	423
1295	427
1293	423
1292	422
88	311
1289	434
1300	442
1297	458
114	357
127	361
1349	426
129	378
0.90097887772601
1398	421
1385	430
1382	509
639	57
231	346
684	102
686	97
1386	601
1384	556
1382	559
1387	633
1392	691
633	66
690	107
1397	713
1384	677
1383	662
635	67
1393	730
699	117
0.9037164176227613
639	57
231	346
684	102
686	97
1386	601
1384	556
1382	559
1387	633
1392	691
633	66
690	107
1397	713
1384	677
1383	662
635	67
1393	730
699	117
1387	963
1398	889
1373	836
0.9061835382987826
1387	633
1392	691
633	66
690	107
1397	713
1384	677
1383	662
635	67
1393	730
699	117
1387	963
1398	889
1373	836
1380	791
1388	768
1377	790
1377	827
1382	891
1386	961
1373	909
0.9012230946324984
1392	691
633	66
690	107
1397	713
1384	677
1383	662
635	67
1393	730
699	117
1387	963
1398	889
1373	836
1380	791
1388	768
1377	790
1377	827
1382	891
1386	961
1373	909
1365	848
0.9175853952801549
633	66
690	107
1397	713
1384	677
1383	662
635	67
1393	730
699	117
1387	963
1398	889
1373	836
1380	791
1388	768
1377	790
1377	827
1382	891
1386	961
1373	909
1365	848
1355	793
0.9268073968073943
690	107
1397	713
1384	677
1383	662
635	67
1393	730
699	117
1387	963
1398	889
1373	836
1380	791
1388	768
1377	790
1377	827
1382	891
1386	961
1373	909
1365	848
1355	793
1338	826
0.9082850274884557
1383	662
635	67
1393	730
699	117
1387	963
1398	889
1373	836
1380	791
1388	768
1377	790
1377	827
1382	891
1386	961
1373	909
1365	848
1355	793
1338	826
1319	942
1314	878
1293	825
0.9000236554766015
635	67
1393	730
699	117
1387	963
1398	889
1373	836
1380	791
1388	768
1377	790
1377	827
1382	891
1386	961
1373	909
1365	848
1355	793
1338	826
1319	942
1314	878
1293	825
1277	852
0.9292207096980478
1100	960
1097	956
1087	941
1086	946
1041	964
1053	960
1055	965
1035	978
1028	970
1024	982
1021	971
1016	978
1007	977
995	986
985	989
974	992
958	997
946	998
938	1001
917	1004
0.9048184290822732
1097	956
1087	941
1086	946
1041	964
1053	960
1055	965
1035	978
1028	970
1024	982
1021	971
1016	978
1007	977
995	986
985	989
974	992
958	997
946	998
938	1001
917	1004
265	327
0.9986572798662757
1087	941
1086	946
1041	964
1053	960
1055	965
1035	978
1028	970
1024	982
1021	971
1016	978
1007	977
995	986
985	989
974	992
958	997
946	998
938	1001
917	1004
265	327
243	338
0.9975668143255843
1086	946
1041	964
1053	960
1055	965
1035	978
1028	970
1024	982
1021	971
1016	978
1007	977
995	986
985	989
974	992
958	997
946	998
938	1001
917	1004
265	327
243	338
199	398
0.9793775746403716
1041	964
1053	960
1055	965
1035	978
1028	970
1024	982
1021	971
1016	978
1007	977
995	986
985	989
974	992
958	997
946	998
938	1001
917	1004
265	327
243	338
199	398
250	552
0.9624337314132236
1053	960
1055	965
1035	978
1028	970
1024	982
1021	971
1016	978
1007	977
995	986
985	989
974	992
958	997
946	998
938	1001
917	1004
265	327
243	338
199	398
250	552
194	525
0.9427940158444397
1055	965
1035	978
1028	970
1024	982
1021	971
1016	978
1007	977
995	986
985	989
974	992
958	997
946	998
938	1001
917	1004
265	327
243	338
199	398
250	552
194	525
178	307
0.9516218367243648
1035	978
1028	970
1024	982
1021	971
1016	978
1007	977
995	986
985	989
974	992
958	997
946	998
938	1001
917	1004
265	327
243	338
199	398
250	552
194	525
178	307
186	391
0.9557701829688101
1028	970
1024	982
1021	971
1016	978
1007	977
995	986
985	989
974	992
958	997
946	998
938	1001
917	1004
265	327
243	338
199	398
250	552
194	525
178	307
186	391
186	366
0.9589477779993055
1024	982
1021	971
1016	978
1007	977
995	986
985	989
974	992
958	997
946	998
938	1001
917	1004
265	327
243	338
199	398
250	552
194	525
178	307
186	391
186	366
184	287
0.9595724562677246
1021	971
1016	978
1007	977
995	986
985	989
974	992
958	997
946	998
938	1001
917	1004
265	327
243	338
199	398
250	552
194	525
178	307
186	391
186	366
184	287
182	244
0.9570423779010498
1016	978
1007	977
995	986
985	989
974	992
958	997
946	998
938	1001
917	1004
265	327
243	338
199	398
250	552
194	525
178	307
186	391
186	366
184	287
182	244
110	22
0.952221664033787
1007	977
995	986
985	989
974	992
958	997
946	998
938	1001
917	1004
265	327
243	338
199	398
250	552
194	525
178	307
186	391
186	366
184	287
182	244
110	22
254	166
0.9227344660791562
995	986
985	989
974	992
958	997
946	998
938	1001
917	1004
265	327
243	338
199	398
250	552
194	525
178	307
186	391
186	366
184	287
182	244
110	22
254	166
79	266
0.9150806641620571
